,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
942,nääs hoppy sour,,sverige,330.0,24.9,2.0,5.0,1.0,Passar till fiskPassar till aperitifPassar till skaldjur,övrig syrlig öl,,7.545454545454546
943,gothenburg brew harvest ipa,göteborgs nya bryggeri,sverige,330.0,21.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,6.636363636363636
944,småländsk brukslager,,sverige,330.0,22.9,6.0,6.0,2.0,Passar till sällskapsdryckPassar till fågelPassar till fläsk,ljus lager,internationell stil,6.939393939393939
945,brewski,killer magpie,sverige,330.0,49.9,7.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,15.121212121212121
946,o/o,festbier,sverige,500.0,32.9,5.0,5.0,1.0,Passar till fiskPassar till grönsakerPassar till skaldjurPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,6.58
947,fjäderholmarnas hazy ipa,,sverige,330.0,34.1,7.0,7.0,2.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,10.333333333333334
948,stigbergets,nådastouten,sverige,330.0,39.9,6.0,10.0,7.0,Passar till dessertPassar till lammPassar till nötPassar till vilt,imperial porter och stout,,12.090909090909092
949,stigbergets,mega muddle,sverige,330.0,44.4,7.0,9.0,4.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,13.454545454545455
950,ipa on demand,mosaic citra simcoe,sverige,330.0,36.9,7.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,11.181818181818182
951,finn oktober festbock,,sverige,330.0,26.9,5.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,ljus bocköl,8.15151515151515
952,nya carnegiebryggeriet,dubbel volt,sverige,330.0,33.9,9.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,10.272727272727272
953,o/o muscles iipa,,sverige,330.0,34.9,8.0,8.0,3.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,imperial/dubbel ipa,10.575757575757576
954,närke kulturbryggeri,dubh linn stout,sverige,330.0,26.0,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,torr porter och stout,,7.878787878787878
955,dugges,the river,sverige,330.0,35.0,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.606060606060606
956,spike brewery,ängla-pils,sverige,330.0,25.0,6.0,6.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till grönsaker,ljus lager,pilsner,7.575757575757576
957,wermlands brygghus,stay true punky apples,sverige,330.0,37.6,2.0,4.0,2.0,Passar till fiskPassar till grönsakerPassar till skaldjurPassar till sällskapsdryck,syrlig öl,berliner weisse,11.393939393939394
958,örebro brygghus,the try out's - imperial stout,sverige,330.0,39.9,4.0,10.0,6.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,12.090909090909092
959,fors,storfräsarlager,sverige,330.0,19.9,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,6.030303030303029
960,mr. wiggly,emmaboda bryggeri,sverige,330.0,32.9,6.0,6.0,3.0,Passar till fiskPassar till grönsakerPassar till fläskPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.969696969696969
961,charlis,gottis,sverige,330.0,49.9,2.0,5.0,3.0,Passar till sällskapsdryck,syrlig öl,berliner weisse,15.121212121212121
962,remmarlöv,neblina hazy session ipa,sverige,330.0,24.9,6.0,6.0,2.0,Passar till fiskPassar till skaldjurPassar till sällskapsdryck,ale,session ipa,7.545454545454546
963,gbg götheborg,,sverige,330.0,17.0,5.0,5.0,1.0,Passar till fiskPassar till fågelPassar till skaldjurPassar till sällskapsdryck,ljus lager,internationell stil,5.151515151515151
964,gothenburg brew harvest ipa,göteborgs nya bryggeri,sverige,330.0,21.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,6.636363636363636
965,o/o porter porter,,sverige,330.0,24.9,7.0,6.0,1.0,Passar till sällskapsdryckPassar till viltPassar till nötPassar till lamm,torr porter och stout,,7.545454545454546
966,dessert in a can,neapolitan ice-cream,norge,330.0,49.9,5.0,11.0,10.0,Passar till sällskapsdryckPassar till dessert,imperial porter och stout,,15.121212121212121
967,gouden carolus hopsinjoor,,belgien,330.0,26.9,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till grönsakerPassar till sällskapsdryck,ale,belgisk ljus ale,8.15151515151515
968,östersunds nya ångbryggeri,dunkel,sverige,330.0,23.7,5.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,mörk lager,dunkel,7.1818181818181825
969,nääs hoppy sour,,sverige,330.0,24.9,2.0,5.0,1.0,Passar till fiskPassar till aperitifPassar till skaldjur,övrig syrlig öl,,7.545454545454546
970,unfinished business,,sverige,440.0,44.9,7.0,8.0,4.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,10.204545454545453
971,double nipple ipa,,sverige,330.0,37.9,8.0,8.0,4.0,Passar till nötPassar till lammPassar till sällskapsdryck,ale,imperial/dubbel ipa,11.484848484848484
972,klackabacken höstbärtzen,,sverige,330.0,23.9,5.0,5.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,7.242424242424242
973,wermlands,hefe-weissbier,sverige,330.0,19.9,3.0,5.0,2.0,Passar till kryddstarktPassar till grönsakerPassar till ostPassar till fågel,veteöl,hefeweizen,6.030303030303029
974,super sharp shooter,,sverige,440.0,43.9,7.0,8.0,3.0,Passar till sällskapsdryckPassar till lammPassar till nöt,ale,india pale ale,9.977272727272727
975,kvarnagårdens,redig american pale ale,sverige,330.0,29.9,6.0,6.0,1.0,Passar till fläskPassar till lammPassar till nöt,ale,amerikansk pale ale,9.06060606060606
976,halmstad,mittelfrüh märzen,sverige,330.0,23.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,7.242424242424242
977,backbeat lager,,sverige,330.0,25.9,5.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,ljus bocköl,7.848484848484848
978,double clown supplies,,sverige,440.0,49.9,5.0,7.0,3.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,new england ipa/hazy ipa,11.34090909090909
979,all in brewing x stigbergets,wheat seems to be the officer problem,sverige,330.0,32.9,5.0,5.0,2.0,Passar till fläskPassar till grönsakerPassar till kryddstarktPassar till sällskapsdryck,veteöl,hopfenweizen,9.969696969696969
980,rajraj,högtidslager,sverige,330.0,24.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,zwickel,7.545454545454546
981,halmstad brygghus,amber gale,sverige,330.0,23.9,6.0,7.0,2.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,amber ale,7.242424242424242
982,göteborgs,lakritsstout,sverige,330.0,39.9,5.0,11.0,10.0,Passar till sällskapsdryck,imperial porter och stout,,12.090909090909092
983,ahlafors oktoberfest,,sverige,330.0,24.9,5.0,6.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,7.545454545454546
984,rajraj,stationens pale ale,sverige,330.0,24.9,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,engelsk pale ale och bitter,7.545454545454546
985,skebo,bruksöl,sverige,500.0,30.5,6.0,7.0,2.0,Passar till fågelPassar till fläskPassar till lammPassar till sällskapsdryck,ale,golden/blond ale,6.1
986,oceanbryggeriet,göteborgsporter,sverige,500.0,32.9,6.0,7.0,1.0,Passar till lammPassar till nöt,torr porter och stout,,6.58
987,finn,citraic ipa,sverige,330.0,28.9,7.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.757575757575758
988,helsingborgs,amber ale,sverige,330.0,22.9,7.0,7.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,amber ale,6.939393939393939
989,eskilstuna ölkultur,stolt lager,sverige,330.0,22.6,5.0,6.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,pilsner,6.8484848484848495
990,höganäs,american pale ale,sverige,330.0,29.9,6.0,6.0,2.0,Passar till fläskPassar till lamm,ale,amerikansk pale ale,9.06060606060606
991,nääs,lager,sverige,330.0,20.9,6.0,5.0,1.0,Passar till fågelPassar till fläsk,ljus lager,pilsner,6.333333333333332
992,westerbottens bryggeri,vithatten,sverige,330.0,24.9,3.0,4.0,1.0,Passar till asiatisktPassar till fiskPassar till fågelPassar till fläsk,veteöl,hefeweizen,7.545454545454546
993,halmstad brygghus,alet west coast ipa,sverige,330.0,27.9,9.0,7.0,4.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.454545454545453
994,westerbottens bryggeri,röbäck,sverige,330.0,27.7,6.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,irländsk ale,8.393939393939394
995,fryken havre,ale,sverige,330.0,26.9,6.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,extra special bitter,8.15151515151515
996,cada dia,ipa,sverige,330.0,29.7,10.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.0
997,daglönarens dröm,,sverige,330.0,29.9,9.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,9.06060606060606
998,ensta mörk lager,,sverige,330.0,27.0,6.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,mörk lager,schwarzbier,8.181818181818182
999,eskilstuna ölkultur,ipa,sverige,330.0,26.6,9.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.06060606060606
1000,ocean,pils,sverige,330.0,20.8,6.0,6.0,2.0,Passar till sällskapsdryckPassar till fågelPassar till fläsk,ljus lager,pilsner,6.303030303030304
1001,limhamns,ipa,sverige,330.0,29.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,ale,india pale ale,9.06060606060606
1002,citrauvin american pale ale,odd island brewing co,sverige,330.0,25.9,7.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,7.848484848484848
1003,spike,,sverige,330.0,28.4,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,session ipa,8.606060606060606
1004,nighting-ale ipa,kackelstugan ab,sverige,330.0,28.0,8.0,6.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,india pale ale,8.484848484848486
1005,charlis älvdans,lätt pale ale,sverige,330.0,25.5,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,7.727272727272727
1006,jämtlands president,ljus lager,sverige,330.0,20.6,4.0,4.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,6.242424242424243
1007,wermlands,kaffestout,sverige,330.0,25.1,7.0,7.0,1.0,Passar till lammPassar till nötPassar till vilt,torr porter och stout,,7.606060606060606
1008,dalabryggeri,american brown ale,sverige,330.0,20.7,8.0,5.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,6.2727272727272725
1009,limhamns,lager,sverige,330.0,24.9,4.0,4.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,,,7.545454545454546
1010,varamon motala pilsner,2016,sverige,330.0,25.0,5.0,5.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,7.575757575757576
1011,lilla edet bryggeri,slussen 1607,sverige,330.0,28.9,5.0,7.0,2.0,Passar till lammPassar till nötPassar till fläskPassar till sällskapsdryck,ale,india pale ale,8.757575757575758
1012,dugges,black currant,sverige,330.0,30.0,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,övrig syrlig öl,,9.090909090909092
1013,eskilstuna ölkultur,ipa,sverige,330.0,26.6,9.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.06060606060606
1014,sälens fjällbryggeri,fjäll-plzner,sverige,330.0,24.9,5.0,6.0,2.0,Passar till sällskapsdryckPassar till fiskPassar till fågelPassar till fläsk,ljus lager,pilsner,7.545454545454546
1015,remmarlöv,eslöfs lager,sverige,330.0,21.9,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,dortmunder och helles,6.636363636363636
1016,wild beer,fruitbooter,storbritannien,330.0,49.9,,,,,övrig syrlig öl,,15.121212121212121
1017,o/o anniversary,baltic porter 2021,sverige,330.0,69.9,6.0,10.0,8.0,Passar till nötPassar till viltPassar till sällskapsdryck,imperial porter och stout,,21.181818181818183
1018,dugges,the fort,sverige,330.0,35.0,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,india pale ale,10.606060606060606
1019,tappad,spike brewery,sverige,440.0,42.5,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.659090909090908
1020,dugges,the fort,sverige,330.0,35.0,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,india pale ale,10.606060606060606
1021,tappad,spike brewery,sverige,440.0,42.5,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.659090909090908
1022,beerbliotek,crossing the streams in the dark,sverige,330.0,31.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,ale,black ipa,9.666666666666666
1023,brygghus 19,californication ddh edition,sverige,440.0,36.9,7.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,amerikansk pale ale,8.386363636363637
1024,ocean california common,,sverige,330.0,24.9,7.0,5.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,mellanmörk lager,california common,7.545454545454546
1025,proof,kissing giants prickly pear margarita gose,usa,355.0,29.8,2.0,3.0,2.0,Passar till aperitifPassar till buffématPassar till sällskapsdryck,syrlig öl,gose och lichtenhainer,8.3943661971831
1026,good guys brew,white spring,sverige,330.0,19.9,2.0,5.0,2.0,Passar till fiskPassar till grönsakerPassar till kryddstarktPassar till sällskapsdryck,veteöl,witbier,6.030303030303029
1027,fermenterarna ipa,,sverige,440.0,49.9,7.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,new england ipa/hazy ipa,11.34090909090909
1028,original nuttahs,,sverige,440.0,34.7,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till fisk,ale,amerikansk pale ale,7.886363636363638
1029,remmarlöv,the winter ale organic,sverige,330.0,24.5,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,amber ale,7.424242424242425
1030,abita,christmas ale,usa,355.0,25.9,7.0,7.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,brown ale,7.295774647887324
1031,mora bryggeri oktoberfest,,sverige,330.0,23.9,6.0,6.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,7.242424242424242
1032,organic wheat beer,,sverige,330.0,22.9,2.0,4.0,2.0,Passar till asiatisktPassar till fiskPassar till fågelPassar till sällskapsdryck,veteöl,hopfenweizen,6.939393939393939
1033,nääs,imperial stout,sverige,330.0,34.9,7.0,9.0,6.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,imperial porter och stout,,10.575757575757576
1034,westerbottens bryggeri snöan,westerbottens bryggeri ab,sverige,330.0,29.9,6.0,6.0,3.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,skotsk ale,9.06060606060606
1035,nääs,imperial stout,sverige,330.0,34.9,7.0,9.0,6.0,Passar till lammPassar till nötPassar till viltPassar till sällskapsdryck,imperial porter och stout,,10.575757575757576
1036,westerbottens bryggeri snöan,westerbottens bryggeri ab,sverige,330.0,29.9,6.0,6.0,3.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,skotsk ale,9.06060606060606
1037,remmarlöv gårdsbryggeri,the crimson organic red ale,sverige,330.0,22.9,7.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amber ale,6.939393939393939
1038,four stroke ipa,,sverige,330.0,33.7,8.0,8.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.212121212121213
1039,mora,kölner bier,sverige,330.0,22.0,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,,,6.666666666666667
1040,stigbergets,amazing haze non plus ultra,sverige,440.0,45.0,8.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,10.227272727272728
1041,spike brewery,likwidated,sverige,440.0,42.6,8.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.681818181818182
1042,charlis nya ängland,,sverige,330.0,34.9,4.0,7.0,1.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,10.575757575757576
1043,pilsner,benchwarmers brewing co ab,sverige,440.0,24.9,7.0,6.0,1.0,Passar till fläskPassar till lamm,ljus lager,pilsner,5.659090909090909
1044,remmarlöv mojo pale ale,remmarlöv gårdsbryggeri,sverige,440.0,32.9,7.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,7.477272727272727
1045,helgedomen s:ta karin,barlingbo bryggeri,sverige,700.0,149.0,4.0,9.0,3.0,Passar till lammPassar till nötPassar till ostPassar till vilt,ale,belgisk mörk ale,21.285714285714285
1046,lovefever,,sverige,330.0,32.0,2.0,4.0,1.0,Passar till sällskapsdryck,övrig syrlig öl,,9.696969696969697
1047,helsingborgs chilipeppar,helsingborgs bryggeri,sverige,330.0,23.8,5.0,5.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,annan öl,öl av flera typer/stilar,7.212121212121213
1048,stenson qpa,,sverige,500.0,45.9,8.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.18
1049,nääs pale ale,,sverige,330.0,19.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,6.030303030303029
1050,hip to the hop,,sverige,330.0,39.9,2.0,3.0,1.0,Passar till aperitifPassar till fiskPassar till skaldjurPassar till grönsaker,övrig syrlig öl,,12.090909090909092
1051,good guys brew,värmlands guld,sverige,330.0,15.0,4.0,4.0,1.0,Passar till fiskPassar till grönsakerPassar till skaldjurPassar till sällskapsdryck,ljus lager,internationell stil,4.545454545454546
1052,brewski,shart ipa,sverige,330.0,44.9,5.0,7.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,india pale ale,13.606060606060606
1053,okt festbier,,sverige,330.0,29.9,4.0,6.0,2.0,Passar till fläskPassar till lammPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,9.06060606060606
1054,limhamns,brown ale,sverige,330.0,28.9,5.0,7.0,2.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,brown ale,8.757575757575758
1055,remmarlöv gårdsbryggeri,the crimson organic red ale,sverige,330.0,22.9,7.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amber ale,6.939393939393939
1056,four stroke ipa,,sverige,330.0,33.7,8.0,8.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,10.212121212121213
1057,mora,kölner bier,sverige,330.0,22.0,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,,,6.666666666666667
1058,stigbergets,amazing haze non plus ultra,sverige,440.0,45.0,8.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,10.227272727272728
1059,spike brewery,likwidated,sverige,440.0,42.6,8.0,7.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.681818181818182
1060,charlis nya ängland,,sverige,330.0,34.9,4.0,7.0,1.0,Passar till fläskPassar till grönsakerPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,10.575757575757576
1061,pilsner,benchwarmers brewing co ab,sverige,440.0,24.9,7.0,6.0,1.0,Passar till fläskPassar till lamm,ljus lager,pilsner,5.659090909090909
1062,remmarlöv mojo pale ale,remmarlöv gårdsbryggeri,sverige,440.0,32.9,7.0,6.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,7.477272727272727
1063,helgedomen s:ta karin,barlingbo bryggeri,sverige,700.0,149.0,4.0,9.0,3.0,Passar till lammPassar till nötPassar till ostPassar till vilt,ale,belgisk mörk ale,21.285714285714285
1064,lovefever,,sverige,330.0,32.0,2.0,4.0,1.0,Passar till sällskapsdryck,övrig syrlig öl,,9.696969696969697
1065,coppersmith's,britter,sverige,500.0,28.9,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,engelsk pale ale och bitter,5.779999999999999
1066,närke,saison,sverige,330.0,34.9,4.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,saison,10.575757575757576
1067,duckpond brewing,tropical tea,sverige,440.0,49.9,2.0,4.0,1.0,Passar till aperitifPassar till sällskapsdryck,syrlig öl,berliner weisse,11.34090909090909
1068,coppersmith's triple dry hopped misty ipa,coppersmith's,sverige,440.0,45.9,5.0,6.0,2.0,Passar till fågelPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ale,new england ipa/hazy ipa,10.431818181818182
1069,sälens fjällbryggeri,sälen pale ale,sverige,330.0,24.9,4.0,5.0,1.0,Passar till sällskapsdryck,ale,amerikansk pale ale,7.545454545454546
1070,westerbottens bryggeri,hummelholm,sverige,330.0,29.7,8.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,9.0
1071,hayley,india pale ale,sverige,330.0,26.8,8.0,6.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.121212121212121
1072,amundsen,chuggernaut hazy session ipa,norge,440.0,36.9,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,session ipa,8.386363636363637
1073,stjernsund brygghus,wulf,sverige,330.0,29.9,6.0,6.0,3.0,Passar till fågelPassar till fläskPassar till fiskPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.06060606060606
1074,jädraöl ipa,,sverige,330.0,27.9,10.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.454545454545453
1075,backens lager,,sverige,330.0,26.7,5.0,5.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ljus lager,pilsner,8.09090909090909
1076,nääs dipa,,sverige,330.0,32.9,10.0,7.0,1.0,Passar till nötPassar till sällskapsdryckPassar till vilt,ale,imperial/dubbel ipa,9.969696969696969
1077,nääs apa,,sverige,330.0,26.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,8.15151515151515
1078,charlis ipanema,american pale ale,sverige,330.0,27.7,,,,,ale,india pale ale,8.393939393939394
1079,cb's session ipa,india pale ale,sverige,330.0,26.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,session ipa,8.15151515151515
1080,remmarlöv,prima vera,sverige,440.0,26.9,3.0,5.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,belgisk ljus ale,6.113636363636363
1081,jädraöl ipa,,sverige,330.0,27.9,10.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.454545454545453
1082,backens lager,,sverige,330.0,26.7,5.0,5.0,1.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ljus lager,pilsner,8.09090909090909
1083,nääs dipa,,sverige,330.0,32.9,10.0,7.0,1.0,Passar till nötPassar till sällskapsdryckPassar till vilt,ale,imperial/dubbel ipa,9.969696969696969
1084,nääs apa,,sverige,330.0,26.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,amerikansk pale ale,8.15151515151515
1085,charlis ipanema,american pale ale,sverige,330.0,27.7,,,,,ale,india pale ale,8.393939393939394
1086,cb's session ipa,india pale ale,sverige,330.0,26.9,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,session ipa,8.15151515151515
1087,sibbarps husbryggeri citra,india pale ale,sverige,330.0,29.0,8.0,6.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.787878787878787
1088,wermland swipa,,sverige,330.0,26.4,9.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.0
1089,charlis,ipaipa,sverige,330.0,30.9,10.0,8.0,3.0,Passar till lammPassar till nötPassar till vilt,ale,imperial/dubbel ipa,9.363636363636363
1090,pite pale ale,,sverige,330.0,37.5,5.0,6.0,1.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,ale,engelsk pale ale och bitter,11.363636363636363
1091,kaakao kaakao,,sverige,330.0,49.8,5.0,8.0,5.0,Passar till dessertPassar till sällskapsdryck,imperial porter och stout,,15.090909090909092
1092,amundsen,chuggernaut hazy session ipa,norge,440.0,36.9,7.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,session ipa,8.386363636363637
1093,stjernsund brygghus,wulf,sverige,330.0,29.9,6.0,6.0,3.0,Passar till fågelPassar till fläskPassar till fiskPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.06060606060606
1094,hayley,india pale ale,sverige,330.0,26.8,8.0,6.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,8.121212121212121
1095,barlingbo bryggeri,kalkstenshawaii,sverige,330.0,25.9,5.0,5.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,ale,amerikansk pale ale,7.848484848484848
1096,jämtlands,coffee stout,sverige,330.0,28.9,7.0,9.0,6.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till vilt,imperial porter och stout,,8.757575757575758
1097,folkes oktoberfest,,sverige,330.0,26.0,6.0,6.0,2.0,Passar till fågelPassar till fläskPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,7.878787878787878
1098,limhamns dipa,,sverige,330.0,34.9,8.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,10.575757575757576
1099,who dat? sabron,spike brewery,sverige,440.0,42.8,6.0,7.0,3.0,Passar till fläskPassar till lammPassar till sällskapsdryck,ale,new england ipa/hazy ipa,9.727272727272727
1100,ocean nya zeeland ipa,oceanbryggeriet,sverige,330.0,24.9,7.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.545454545454546
1101,folkes slusslager,aktiebolaget centralbryggeriet i linköping,sverige,330.0,24.0,5.0,5.0,1.0,Passar till fiskPassar till fågelPassar till grönsakerPassar till sällskapsdryck,ljus lager,pilsner,7.2727272727272725
