,brewery,name,origin,volume_ml,price,bitterness,body,sweetness,recommendation,cat_1,cat_2,price/100_ml
35,heineken,,,330.0,14.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.515151515151515
36,guinness,draught,irland,440.0,23.4,7.0,6.0,1.0,Passar till nötPassar till sällskapsdryckPassar till viltPassar till skaldjur,torr porter och stout,,5.3181818181818175
37,brewdog punk ipa,,storbritannien,330.0,20.9,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,6.333333333333332
38,melleruds,utmärkta pilsner,sverige,330.0,15.9,6.0,6.0,1.0,Passar till fläskPassar till fiskPassar till buffématPassar till sällskapsdryck,ljus lager,pilsner,4.818181818181818
39,leffe,blonde,belgien,330.0,20.9,4.0,7.0,4.0,Passar till fläskPassar till ostPassar till sällskapsdryckPassar till grönsaker,ale,belgisk ljus ale,6.333333333333332
40,hoegaarden,wit-blanche,belgien,330.0,17.0,1.0,4.0,1.0,Passar till grönsakerPassar till fiskPassar till sällskapsdryckPassar till kryddstarkt,veteöl,witbier,5.151515151515151
41,stigbergets,west coast neipa,sverige,330.0,32.9,9.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,new england ipa/hazy ipa,9.969696969696969
42,zlatopramen,half n' half,tjeckien,500.0,18.9,6.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,polotmavý,3.7800000000000002
43,peroni nastro azzurro,,italien,330.0,17.9,5.0,5.0,1.0,Passar till fågelPassar till fiskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,5.424242424242424
44,gotlands bryggeri,sleepy bulldog pale ale,sverige,330.0,19.5,7.0,6.0,1.0,Passar till fläskPassar till lammPassar till fiskPassar till sällskapsdryck,ale,engelsk pale ale och bitter,5.909090909090909
45,gösser,,österrike,330.0,12.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till sällskapsdryckPassar till fågel,ljus lager,pilsner,3.909090909090909
46,brewdog punk ipa,,storbritannien,330.0,19.9,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,6.030303030303029
47,erdinger,weissbier hefe,tyskland,500.0,23.9,2.0,5.0,2.0,Passar till asiatisktPassar till fiskPassar till fläskPassar till kryddstarkt,veteöl,hefeweizen,4.779999999999999
48,stella artois,,belgien,330.0,17.0,4.0,4.0,2.0,Passar till buffématPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,5.151515151515151
49,mariestads export,,sverige,500.0,15.9,6.0,6.0,1.0,Passar till buffématPassar till fiskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,3.18
50,mariestads export,,sverige,500.0,16.9,6.0,6.0,1.0,Passar till buffématPassar till fiskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,3.38
51,carlsberg hof,organic,,330.0,13.5,4.0,4.0,1.0,Passar till fiskPassar till fläskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,4.090909090909091
52,staropramen,,tjeckien,330.0,17.0,6.0,6.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,5.151515151515151
53,hofbräu münchen oktoberfest,,tyskland,500.0,23.9,6.0,6.0,2.0,Passar till fläskPassar till fågelPassar till sällskapsdryckPassar till grönsaker,ljus lager,starkare lager,4.779999999999999
54,carlsberg hof,organic,,500.0,14.5,4.0,4.0,1.0,Passar till fiskPassar till fläskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,2.9000000000000004
55,sofiero original,,sverige,500.0,11.9,4.0,4.0,1.0,Passar till sällskapsdryckPassar till fiskPassar till fläskPassar till fågel,ljus lager,internationell stil,2.3800000000000003
56,kung,,sverige,500.0,11.4,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,2.2800000000000002
57,poppels bryggeri,session ipa,sverige,330.0,20.0,7.0,7.0,1.0,Passar till fläskPassar till lammPassar till grönsakerPassar till sällskapsdryck,ale,session ipa,6.0606060606060606
58,falcon bayerskt,,sverige,500.0,15.9,4.0,6.0,2.0,Passar till sällskapsdryckPassar till fläskPassar till lamm,mellanmörk lager,märzen och wienerstil,3.18
59,norrlands guld,export,sverige,500.0,13.9,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,2.7800000000000002
60,carlsberg hof,organic,,330.0,10.9,4.0,4.0,1.0,Passar till fiskPassar till fläskPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,3.3030303030303036
61,guinness,extra stout,irland,330.0,19.9,7.0,8.0,1.0,Passar till lammPassar till nötPassar till skaldjurPassar till vilt,torr porter och stout,,6.030303030303029
62,melleruds paradpilsner,,sverige,330.0,15.9,7.0,7.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till nöt,ljus lager,modern stil/india pale lager,4.818181818181818
63,falcon export,,sverige,330.0,9.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,3.0000000000000004
64,ballast point,grunion ipa,usa,355.0,19.9,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,5.605633802816901
65,mariestads export,,sverige,330.0,13.9,6.0,6.0,1.0,Passar till buffématPassar till fiskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,4.212121212121212
66,norrlands ljus,,sverige,330.0,13.5,4.0,4.0,1.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,4.090909090909091
67,tuborg grön,,,330.0,9.2,4.0,4.0,1.0,Passar till fiskPassar till sällskapsdryckPassar till fläskPassar till buffémat,ljus lager,internationell stil,2.7878787878787876
68,norrlands guld,export,sverige,330.0,10.7,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till buffématPassar till sällskapsdryck,ljus lager,internationell stil,3.2424242424242427
69,oppigårds,norn pale ale,sverige,330.0,23.5,6.0,6.0,1.0,Passar till fågelPassar till fläskPassar till sällskapsdryckPassar till grönsaker,ale,amerikansk pale ale,7.121212121212121
70,oppigårds,new sweden ipa,sverige,330.0,25.5,8.0,7.0,1.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,new england ipa/hazy ipa,7.727272727272727
71,mariestads export,,sverige,330.0,12.9,6.0,6.0,1.0,Passar till buffématPassar till fiskPassar till grönsakerPassar till sällskapsdryck,ljus lager,dortmunder och helles,3.909090909090909
72,åbro original,extra stark,sverige,330.0,10.9,5.0,7.0,3.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,starkare lager,3.3030303030303036
73,lagunitas maximus,,usa,355.0,27.9,9.0,8.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,7.859154929577464
74,to øl # dipa,,danmark,440.0,34.9,7.0,8.0,3.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,imperial/dubbel ipa,7.931818181818182
75,pabst blue ribbon,export,usa,355.0,14.9,5.0,6.0,2.0,Passar till fiskPassar till fågelPassar till skaldjurPassar till sällskapsdryck,ljus lager,internationell stil,4.19718309859155
76,heineken,,,330.0,12.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,3.909090909090909
77,småland,,sverige,330.0,9.4,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till nötPassar till sällskapsdryck,ljus lager,pilsner,2.8484848484848486
78,gotlands bryggeri,sitting bulldog ipa,sverige,330.0,22.6,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryckPassar till fläsk,ale,india pale ale,6.8484848484848495
79,swedish elk brew,,sverige,330.0,12.9,3.0,4.0,1.0,Passar till sällskapsdryckPassar till fågelPassar till fläsk,ljus lager,starkare lager,3.909090909090909
80,falcon export,,sverige,500.0,13.9,5.0,5.0,1.0,Passar till fiskPassar till fläskPassar till kryddstarktPassar till sällskapsdryck,ljus lager,internationell stil,2.7800000000000002
81,bryggmästarens premium gold,,sverige,500.0,14.9,6.0,6.0,1.0,Passar till buffématPassar till fiskPassar till sällskapsdryckPassar till grönsaker,ljus lager,dortmunder och helles,2.98
82,mariestads old ox,,sverige,500.0,18.9,6.0,7.0,2.0,Passar till sällskapsdryckPassar till fläsk,ljus lager,ljus bocköl,3.7800000000000002
83,eriksberg,,sverige,500.0,16.9,4.0,5.0,2.0,Passar till buffématPassar till grönsakerPassar till fiskPassar till sällskapsdryck,ljus lager,dortmunder och helles,3.38
84,carlsberg export,,,500.0,16.3,5.0,6.0,1.0,Passar till fiskPassar till buffématPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,3.2600000000000002
85,spendrups premium gold,,sverige,500.0,14.9,6.0,6.0,2.0,Passar till fiskPassar till buffématPassar till fläskPassar till sällskapsdryck,ljus lager,internationell stil,2.98
86,eriksberg,karaktär,sverige,330.0,14.7,5.0,6.0,2.0,Passar till fläskPassar till lammPassar till nötPassar till sällskapsdryck,mellanmörk lager,märzen och wienerstil,4.454545454545454
87,budvar,budejovicky,tjeckien,330.0,14.9,5.0,5.0,2.0,Passar till fiskPassar till fågelPassar till fläskPassar till sällskapsdryck,ljus lager,pilsner,4.515151515151515
88,sofiero original,guld,sverige,500.0,15.4,6.0,7.0,2.0,Passar till fläskPassar till nötPassar till lammPassar till sällskapsdryck,ljus lager,starkare lager,3.08
89,bavaria premium,,nederländerna,250.0,11.4,5.0,4.0,2.0,Passar till fiskPassar till fläskPassar till grönsakerPassar till sällskapsdryck,ljus lager,internationell stil,4.5600000000000005
90,brooklyn,east ipa,,330.0,23.9,8.0,7.0,2.0,Passar till lammPassar till nötPassar till sällskapsdryck,ale,india pale ale,7.242424242424242
